Medicamento,Especie de destino,Reacciones Adversas
AEROFAR,Caprino,Dermatitis local
AEROFAR,Porcino,Dermatitis local
AEROFAR,Bovino,Dermatitis local
AEROFAR,Perros,Dermatitis local
AEROFAR,Gatos,Dermatitis local
AEROFAR,Ovino,Dermatitis local
AEROFAR,Caballos,Dermatitis local
KETOKLASS,Porcino,Úlcera gástrica
BOVILIS BOVIPAST RSP,Bovino,Reacción de hipersensibilidad
ADOEQMINA 10 mg/ml SOLUCION CUTANEA # ADOEQMINA,Gatos,Reacción de hipersensibilidad
ADOEQMINA 10 mg/ml SOLUCION CUTANEA # ADOEQMINA,Caballos,Reacción de hipersensibilidad
ADOEQMINA 10 mg/ml SOLUCION CUTANEA # ADOEQMINA,Perros,Reacción de hipersensibilidad
LOXICOM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Diarrea
LOXICOM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Diarrea
ADVOCIN 25 mg/ml SOLUCION INYECTABLE # ADVOCIN SOLUCION INYECTABLE,Porcino,Eritema en el punto de inyección
ADVOCIN 25 mg/ml SOLUCION INYECTABLE # ADVOCIN SOLUCION INYECTABLE,Bovino,Eritema en el punto de inyección
ADVOCIN 180,Bovino,Inflamación en el punto de inyección
ALBENDAVET 19 mg/ml,Ovino,Ninguna
ALBENDEX 100 mg/ml SUSPENSION ORAL # ALBENDEX 100 mg/ml,Ovino,Ninguna
ALBENDEX 100 mg/ml SUSPENSION ORAL # ALBENDEX 100 mg/ml,Bovino,Ninguna
ALBENDEX 20 mg/ml SUSPENSION ORAL,Bovino,Ninguna
ALBENDEX 20 mg/ml SUSPENSION ORAL,Ovino,Ninguna
MEDESEDAN 10 mg/ml,Bovino,Hiperexcitación
TRELACON G 250 PREMEZCLA,Porcino,Diarrea
ALUSPRAY,Bovino,Ninguna
ALUSPRAY,Perros,Ninguna
ALUSPRAY,Ovino,Ninguna
ALUSPRAY,Porcino,Ninguna
ALUSPRAY,Gatos,Ninguna
DEPOCILLIN,Porcino,Edema local
DEPOCILLIN,Bovino,Edema local
DEPOCILLIN,Ovino,Edema local
ANTHELMIN 75 mg/ml SOLUCION INYECTABLE # ANTHELMIN SOLUCION INYECTABLE,Bovino,Reacción en el punto de inyección
ANTHELMIN 75 mg/ml SOLUCION INYECTABLE # ANTHELMIN SOLUCION INYECTABLE,Porcino,Reacción en el punto de inyección
ANTHELMIN 75 mg/ml SOLUCION INYECTABLE # ANTHELMIN SOLUCION INYECTABLE,Ovino,Reacción en el punto de inyección
ANTISEDAN,Perros,Alteración del comportamiento
ANTISEDAN,Gatos,Alteración del comportamiento
AQUAMICIN POLVO,Porcino,Alteración de la microbiota intestinal
ATOPICA 100 mg CAPSULAS BLANDAS PARA PERROS,Perros,Diabetes mellitus
ATOPICA 50 mg CAPSULAS BLANDAS PARA PERROS,Perros,Diabetes mellitus
BAS DEXTRAN SALINO USO VETERINARIO,Perros,Coagulopatía
BAS DEXTRAN SALINO USO VETERINARIO,Gatos,Coagulopatía
BAYTRIL 100 mg/ml SOLUCION INYECTABLE # BAYTRIL 10% SOLUCION INYECTABLE,Bovino,Reacción en el punto de inyección
BAYTRIL 100 mg/ml SOLUCION INYECTABLE # BAYTRIL 10% SOLUCION INYECTABLE,Porcino,Reacción en el punto de inyección
BAYTRIL 100 mg/ml SOLUCION INYECTABLE # BAYTRIL 10% SOLUCION INYECTABLE,Ovino,Reacción en el punto de inyección
BAYTRIL 100 mg/ml SOLUCION INYECTABLE # BAYTRIL 10% SOLUCION INYECTABLE,Caprino,Reacción en el punto de inyección
"BAYTRIL 25 mg/ml SOLUCION INYECTABLE # BAYTRIL 2,5% SOLUCION INYECTABLE",Gatos,Reacción en el punto de inyección
"BAYTRIL 25 mg/ml SOLUCION INYECTABLE # BAYTRIL 2,5% SOLUCION INYECTABLE",Perros,Reacción en el punto de inyección
BAYTRIL SABOR 15 mg COMPRIMIDOS,Perros,Hipersalivación
BAYTRIL SABOR 15 mg COMPRIMIDOS,Gatos,Hipersalivación
BAYTRIL SABOR 50 mg COMPRIMIDOS,Perros,Hipersalivación
BAYTRIL SABOR 50 mg COMPRIMIDOS,Gatos,Hipersalivación
BISEPTYL,Porcino,Dolor en el punto de administración
BISEPTYL,Perros,Dolor en el punto de administración
BISEPTYL,Bovino,Dolor en el punto de administración
BOLFO SPRAY,Perros,Ninguna
BOLFO SPRAY,Gatos,Ninguna
RISPOVAL BRSV-PI3-BVD,Bovino,Reacción local
CLOMICALM 5 mg COMPRIMIDOS PARA  PERROS,Perros,Emesis
ECOMECTIN 6 mg/g PREMEZCLA MEDICAMENTOSA PARA CERDOS,Porcino,Ninguna
APSAMIX TILOSINA 100 mg/g # APSAMIX TILOSINA 10%,Porcino,Edema local
CALIERMISOL POLVO PARA SOLUCION ORAL,Ovino,Dolor abdominal
CALIERMISOL POLVO PARA SOLUCION ORAL,Porcino,Dolor abdominal
CALIERMISOL POLVO PARA SOLUCION ORAL,Bovino,Dolor abdominal
CALIERMUTIN 100 mg/g PREMEZCLA MEDICAMENTOSA PARA CERDOS,Porcino,Reacción de hipersensibilidad
CALIERMUTIN 20 mg/g PREMEZCLA,Porcino,Reacción de hipersensibilidad
CALMIVET,Gatos,Trombocitopenia
CALMIVET,Perros,Trombocitopenia
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,Perros,Diarrea
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,Gatos,Diarrea
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Emesis
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Emesis
"CAPSTAR 11,4 mg COMPRIMIDOS PARA GATOS Y PERROS PEQUEÑOS",Perros,Hiperexcitación
"CAPSTAR 11,4 mg COMPRIMIDOS PARA GATOS Y PERROS PEQUEÑOS",Gatos,Hiperexcitación
BENAZECARE SABOR 20 mg COMPRIMIDOS PARA PERROS,Perros,Emesis
CLOMICALM 20 mg COMPRIMIDOS PARA PERROS,Perros,Emesis
CLOMICALM 80 mg COMPRIMIDOS PARA PERROS,Perros,Emesis
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Ovino,Acidosis
